COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2001_SALDO_TOTAL,2001_SALDO_HOMBRES,2001_SALDO_MUJERES,2001_SALDOEXT_TOTAL,2001_SALDOEXT_HOMBRES,2001_SALDOEXT_MUJERES,2001_SALDOTOTAL_MENORES,2001_SALDOTOTAL_ESTUDIANTES,2001_SALDOTOTAL_TRABAJADORES,2001_SALDOTOTAL_MADUREZ1,2001_SALDOTOTAL_MADUREZ2,2001_SALDOTOTAL_JUBILADOS,2001_SALDOHOMBRES_MENORES,2001_SALDOHOMBRES_ESTUDIANTES,2001_SALDOHOMBRES_TRABAJADORES,2001_SALDOHOMBRES_MADUREZ1,2001_SALDOHOMBRES_MADUREZ2,2001_SALDOHOMBRES_JUBILADOS,2001_SALDOMUJERES_MENORES,2001_SALDOMUJERES_ESTUDIANTES,2001_SALDOMUJERES_TRABAJADORES,2001_SALDOMUJERES_MADUREZ1,2001_SALDOMUJERES_MADUREZ2,2001_SALDOMUJERES_JUBILADOS,2001_SALDOEXT_MENORES,2001_SALDOEXT_ESTUDIANTES,2001_SALDOEXT_TRABAJADORES,2001_SALDOEXT_MADUREZ1,2001_SALDOEXT_MADUREZ2,2001_SALDOEXT_JUBILADOS,2001_SALDOEXT_HOMBRES_MENORES,2001_SALDOEXT_HOMBRES_ESTUDIANTES,2001_SALDOEXT_HOMBRES_TRABAJADORES,2001_SALDOEXT_HOMBRES_MADUREZ1,2001_SALDOEXT_HOMBRES_MADUREZ2,2001_SALDOEXT_HOMBRES_JUBILADOS,2001_SALDOEXT_MUJERES_MENORES,2001_SALDOEXT_MUJERES_ESTUDIANTES,2001_SALDOEXT_MUJERES_TRABAJADORES,2001_SALDOEXT_MUJERES_MADUREZ1,2001_SALDOEXT_MUJERES_MADUREZ2,2001_SALDOEXT_MUJERES_JUBILADOS
46,46142,Jalance,1098,-7,-2,-5,7,1,6,7,-2,-7,1,-2,-4,3,0,-5,0,0,0,4,-2,-2,1,-2,-4,4,0,1,1,1,0,1,0,0,0,0,0,3,0,1,1,1,0
46,46154,Llanera de Ranes,1028,86,74,12,87,72,15,-4,22,41,23,4,0,0,20,30,19,4,1,-4,2,11,4,0,-1,1,22,38,22,4,0,0,21,28,20,3,0,1,1,10,2,1,0
46,46147,Llíria,16300,693,395,298,322,210,112,108,154,194,129,78,23,68,103,108,57,46,9,40,51,86,72,32,14,56,86,90,71,17,2,34,66,62,39,9,0,22,20,28,32,8,2
46,46153,Llocnou de Sant Jeroni,562,6,0,6,3,2,1,-2,5,-3,-1,7,0,-3,3,-2,-1,3,0,1,2,-1,0,4,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0
46,46156,Llombai,2263,-6,-4,-2,17,10,7,-2,4,-6,2,1,-5,-1,2,-4,0,1,-2,-1,2,-2,2,0,-3,3,6,5,3,0,0,2,4,2,2,0,0,1,2,3,1,0,0
46,46157,"Llosa de Ranes, la",3620,50,31,19,38,25,13,6,24,11,6,1,3,5,8,13,5,0,1,1,16,-2,1,1,2,0,13,13,11,1,0,0,6,10,8,1,0,0,7,3,3,0,0
46,46150,Llutxent,2394,23,24,-1,47,28,19,0,12,0,6,4,2,2,11,1,4,4,2,-2,1,-1,2,0,0,8,13,11,10,4,1,5,8,5,6,3,1,3,5,6,4,1,0
46,46160,Manuel,2460,-8,-9,1,10,6,4,1,-4,-2,-1,-4,2,0,-2,-5,0,-3,2,1,-2,3,-1,-1,0,2,3,1,3,1,0,1,2,1,2,0,0,1,1,0,1,1,0
46,46162,Massalavés,1470,101,66,35,108,67,41,2,33,39,30,-1,-1,-1,23,25,19,0,0,3,10,14,11,-1,-1,4,33,45,23,3,0,1,23,28,15,0,0,3,10,17,8,3,0
46,46163,Massalfassar,1335,14,10,4,7,5,2,4,7,-1,6,-1,-1,5,4,-1,3,0,-1,-1,3,0,3,-1,0,3,3,1,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0
46,46164,Massamagrell,12424,305,192,113,142,89,53,56,58,79,60,14,36,35,38,52,40,13,13,21,20,27,20,1,23,32,39,35,27,7,2,18,27,25,13,5,1,14,12,10,14,2,1
46,46165,Massanassa,7633,10,12,-2,47,31,16,6,8,3,-12,2,2,9,3,4,-8,1,2,-3,5,-1,-4,1,0,5,17,20,5,0,0,3,11,14,3,0,0,2,6,6,2,0,0
46,46166,Meliana,9112,29,18,11,39,29,10,8,17,9,6,-8,-3,0,11,7,7,-4,-4,8,6,2,-1,-4,1,5,14,15,4,1,0,2,10,13,3,1,0,3,4,2,1,0,0
